hour_index,gpu_HP,gpu_Spot,cpu_HP,cpu_Spot,gpu_total,cpu_total
267,6085.8107,0.0,164449.6194,0.0,6085.8107,164449.6194
268,5834.6758,0.0,158780.3322,0.0,5834.6758,158780.3322
269,5781.3699,0.0,157547.6225,0.0,5781.3699,157547.6225
270,5797.4633,0.0,157937.3522,0.0,5797.4633,157937.3522
271,5814.9475,0.0,158272.44,0.0,5814.9475,158272.44
272,5858.8831,0.0,158472.5417,0.0,5858.8831,158472.5417
273,5878.9978,0.0,158486.595,0.0,5878.9978,158486.595
274,5928.8077,0.0,159425.49,0.0,5928.8077,159425.49
275,6066.792,0.0,161531.7517,0.0,6066.792,161531.7517
276,6120.3989,0.0,161981.0536,0.0,6120.3989,161981.0536
277,6109.7575,0.0,162090.0717,0.0,6109.7575,162090.0717
278,6145.8129,0.0,162455.3261,0.0,6145.8129,162455.3261
279,6232.0168,0.0,163871.3689,0.0,6232.0168,163871.3689
280,6262.5785,0.0,164444.3975,0.0,6262.5785,164444.3975
281,6319.4993,0.0,165100.1008,0.0,6319.4993,165100.1008
282,6288.1761,0.0,164365.1172,0.0,6288.1761,164365.1172
283,6319.0832,0.0,164574.6894,0.0,6319.0832,164574.6894
284,6348.7398,0.0,165066.9617,0.0,6348.7398,165066.9617
285,6354.8451,0.0,164841.2661,0.0,6354.8451,164841.2661
286,6388.3262,0.0,165419.7942,0.0,6388.3262,165419.7942
287,6330.372,0.0,165055.9683,0.0,6330.372,165055.9683
288,5791.2785,0.0,158022.455,0.0,5791.2785,158022.455
289,5770.2394,0.0,157826.4842,0.0,5770.2394,157826.4842
290,5726.672,0.0,157261.3794,0.0,5726.672,157261.3794
291,5726.1732,0.0,157230.1172,0.0,5726.1732,157230.1172
292,5743.4034,0.0,157484.2522,0.0,5743.4034,157484.2522
293,5747.8008,0.0,157588.1836,0.0,5747.8008,157588.1836
294,5749.9144,0.0,157621.345,0.0,5749.9144,157621.345
295,5770.4482,0.0,157685.1383,0.0,5770.4482,157685.1383
296,5837.2928,0.0,158214.1789,0.0,5837.2928,158214.1789
297,5839.2444,0.0,158115.5875,0.0,5839.2444,158115.5875
298,5970.7471,0.0,160042.5543,0.0,5970.7471,160042.5543
299,6131.9056,0.0,161720.3319,0.0,6131.9056,161720.3319
300,6155.7272,0.0,161962.6267,0.0,6155.7272,161962.6267
301,6141.7115,0.0,161954.5664,0.0,6141.7115,161954.5664
302,6159.2245,0.0,162231.6892,0.0,6159.2245,162231.6892
303,6187.9528,0.0,162931.1586,0.0,6187.9528,162931.1586
304,6252.4211,0.0,163958.1431,0.0,6252.4211,163958.1431
305,6308.6091,0.0,164727.2859,0.0,6308.6091,164727.2859
306,6339.3662,0.0,164929.0404,0.0,6339.3662,164929.0404
307,6393.8929,0.0,165563.915,0.0,6393.8929,165563.915
308,6474.8484,0.0,166873.4994,0.0,6474.8484,166873.4994
309,6467.7727,0.0,166769.9281,0.0,6467.7727,166769.9281
310,6427.2892,0.0,166349.7475,0.0,6427.2892,166349.7475
311,6390.0489,0.0,165908.483,0.0,6390.0489,165908.483
312,5790.3716,0.0,157018.0186,0.0,5790.3716,157018.0186
313,5738.0863,0.0,156467.7364,0.0,5738.0863,156467.7364
314,5679.0065,0.0,155708.3294,0.0,5679.0065,155708.3294
315,5666.3732,0.0,155499.6094,0.0,5666.3732,155499.6094
316,5657.494,0.0,155329.1203,0.0,5657.494,155329.1203
317,5654.3338,0.0,155350.0333,0.0,5654.3338,155350.0333
318,5655.402,0.0,155440.1528,0.0,5655.402,155440.1528
319,5672.1407,0.0,155629.4394,0.0,5672.1407,155629.4394
320,5734.4698,0.0,155956.0353,0.0,5734.4698,155956.0353
321,5741.128,0.0,156135.0281,0.0,5741.128,156135.0281
322,5878.7379,0.0,157911.9714,0.0,5878.7379,157911.9714
323,6010.4549,0.0,159279.1575,0.0,6010.4549,159279.1575
324,6118.9328,0.0,160221.5178,0.0,6118.9328,160221.5178
325,6122.6028,0.0,160121.1775,0.0,6122.6028,160121.1775
326,6129.0298,0.0,160797.9825,0.0,6129.0298,160797.9825
